network,status,skip_reason,num_nodes,num_edges,num_communities,original_num_nodes,original_num_edges,sampled,sampling_method,a_true,b_true,theta_true,beta,a_hat,b_hat,theta_hat,a_abs_error,b_abs_error,theta_abs_error,a_rel_error,b_rel_error,theta_rel_error,num_exposure_rows,positive_y_rate,valid_exposure_rate,n_cascades,max_steps,seed_size,zero_exposure_rate,m_in_std,m_out_std,degree_std,design_condition_number,fit_iterations
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.4,0.05,5.0,1.006916989316827,0.4036396328102758,0.050351742698263424,0.006916989316827049,0.0036396328102757947,0.0003517426982634214,0.006916989316827049,0.009099082025689487,0.007034853965268428,928382,0.25452884696170325,1.0,100,20,5,0.535567255720167,8.932824289599845,2.431273088419163,51.37145035063168,1.7268706445940596,26
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.4,0.1,5.0,1.0046638515611306,0.40048886370563264,0.10038144279816026,0.004663851561130583,0.0004888637056326139,0.00038144279816025584,0.004663851561130583,0.0012221592640815349,0.0038144279816025584,2096225,0.11272644873522641,1.0,100,20,5,0.5853131223985975,6.5892226863121754,2.0691340951526622,51.01007378340253,1.5437355907218921,30
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.4,0.15,5.0,1.003928029194916,0.40127462025484384,0.1505418059516976,0.003928029194915972,0.0012746202548438168,0.0005418059516976159,0.003928029194915972,0.003186550637109542,0.0036120396779841064,4264943,0.02205140842445022,1.0,100,20,5,0.6861779864349887,2.8335487656551686,1.1763117172196884,51.13746990006552,1.3613803628746661,24
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.6,0.05,5.0,0.999059952889953,0.5953289357173086,0.04986329457063854,0.0009400471100470265,0.004671064282691373,0.0001367054293614639,0.0009400471100470265,0.007785107137818955,0.002734108587229278,914790,0.25831065053181607,1.0,100,20,5,0.5342701603646739,9.068079440910008,2.240114523127266,51.333290632077244,1.7635130397714631,34
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.6,0.1,5.0,0.9973068729592127,0.5966311773609733,0.09969572662437176,0.00269312704078728,0.003368822639026714,0.0003042733756282445,0.00269312704078728,0.005614704398377857,0.0030427337562824452,2036566,0.11602864822451125,1.0,100,20,5,0.5846984580907272,6.653579808392026,1.721549816700483,51.05768944751456,1.6473847665452241,27
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.6,0.15,5.0,0.9987815958340199,0.6001393767165576,0.14984478937207235,0.0012184041659800693,0.0001393767165576154,0.00015521062792764329,0.0012184041659800693,0.0002322945275960257,0.001034737519517622,4262137,0.023255470201919835,1.0,100,20,5,0.6844679089386381,2.782368134577296,0.9393622480558578,51.18385905118067,1.488784981457474,24
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.2,0.05,5.0,0.5993296047989596,0.198354275955062,0.04989594681006933,0.0006703952010403968,0.0016457240449380128,0.00010405318993067514,0.0011173253350673282,0.008228620224690064,0.0020810637986135028,745681,0.43767911479573707,1.0,100,20,5,0.6822166583297684,2.4151660448231955,2.1207876790349367,22.65434523227517,2.9478373855739126,18
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.2,0.1,5.0,0.5991169745244159,0.20038809696821097,0.09994862420896099,0.0008830254755840539,0.0003880969682109603,5.137579103901835e-05,0.0014717091259734232,0.0019404848410548015,0.0005137579103901835,1155474,0.2824537808726116,1.0,100,20,5,0.6564942179573058,2.8203314917039064,2.5396975824210637,24.277827443679644,2.929724840282251,17
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.2,0.15,5.0,0.6011995746152599,0.2005653191998539,0.15039142889920962,0.0011995746152598796,0.000565319199853892,0.00039142889920962265,0.001999291025433133,0.00282659599926946,0.002609525994730818,2073001,0.15744179573478256,1.0,100,20,5,0.6135332303264688,3.3215391473452764,2.9327153738146956,25.919077263143148,2.9952204484049125,18
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.4,0.05,5.0,0.6020660763554646,0.39840204763499054,0.050011912893962465,0.00206607635546463,0.0015979523650094807,1.1912893962462423e-05,0.00344346059244105,0.003994880912523702,0.00023825787924924846,727762,0.44849277648462,1.0,100,20,5,0.6907519216447136,2.340790235246492,1.858867125379805,22.407423848656975,2.97653769725448,24
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.4,0.1,5.0,0.6004114926795092,0.40221437810664495,0.10029885705310762,0.00041149267950923996,0.002214378106644932,0.0002988570531076151,0.0006858211325154,0.00553594526661233,0.0029885705310761512,1080880,0.3019733920509215,1.0,100,20,5,0.6748473466064688,2.628373022932521,2.1522245876585013,23.87434740723535,3.027984300441271,20
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.4,0.15,5.0,0.6012007566642161,0.3999127075569523,0.1500976726447696,0.0012007566642161516,8.729244304772621e-05,9.767264476959192e-05,0.0020012611070269193,0.00021823110761931552,0.0006511509651306129,1806539,0.18067420631384098,1.0,100,20,5,0.6538746188153148,3.006808747835663,2.32196093322006,25.24196809377598,2.9527942973874013,21
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.6,0.05,5.0,0.5979973537865444,0.601730500450079,0.049942748837499676,0.0020026462134555834,0.0017305004500790533,5.725116250032691e-05,0.003337743689092639,0.002884167416798422,0.0011450232500065383,716042,0.45583219978716333,1.0,100,20,5,0.6951631328888529,2.430713705015498,1.897495282545541,22.227958956328894,3.0621943574375012,23
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.6,0.1,5.0,0.6025259897986261,0.6038437390393913,0.10049096879600268,0.0025259897986261715,0.0038437390393912807,0.0004909687960026748,0.004209982997710286,0.006406231732318801,0.0049096879600267485,1031007,0.31658077976192206,1.0,100,20,5,0.686816869332604,2.6035252220580904,2.0589885641912145,23.583073072528535,3.1148544840148946,17
youtube,ok,,3269,14510,2,3269,14510,False,none,0.6,0.6,0.15,5.0,0.6002876236273211,0.5997755327753648,0.1499700066660992,0.0002876236273211541,0.0002244672246352053,2.9993333900801833e-05,0.0004793727122019235,0.0003741120410586755,0.0001999555593386789,1647565,0.19810933104308479,1.0,100,20,5,0.6790390667439524,2.8613437422610364,2.0593400846263816,24.85854202726718,2.9334055401874957,20
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.2,0.05,5.0,0.7989412981741466,0.19842904431626138,0.05007644137447429,0.0010587018258534364,0.001570955683738634,7.644137447428839e-05,0.0013233772823167955,0.00785477841869317,0.0015288274894857679,729471,0.447405037348983,1.0,100,20,5,0.6891254073157124,2.3949337913611966,2.0036190323454517,22.39396633040843,2.8810435914208727,23
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.2,0.1,5.0,0.8010975903320137,0.20007911339249781,0.10007072646360807,0.0010975903320136204,7.91133924978038e-05,7.072646360806178e-05,0.0013719879150170255,0.000395566962489019,0.0007072646360806178,1044531,0.3124521914620054,1.0,100,20,5,0.6756774092870389,2.5685606812375945,2.3336299757273347,23.591230509885584,2.8580546737859973,18
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.2,0.15,5.0,0.800054672237023,0.20083731912728564,0.15011948669198666,5.4672237022934667e-05,0.0008373191272856295,0.0001194866919866644,6.834029627866833e-05,0.004186595636428148,0.0007965779465777627,1610743,0.20261084480888633,1.0,100,20,5,0.6594565365176195,2.7940149582248845,2.670164208324438,24.68326026347117,2.87435056670365,20
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.4,0.05,5.0,0.7969164196229517,0.3999020526664939,0.049850469378083205,0.003083580377048367,9.794733350609874e-05,0.00014953062191679772,0.003854475471310459,0.00024486833376524686,0.0029906124383359545,716460,0.45556067331044303,1.0,100,20,5,0.6979761605672333,2.455108193493146,1.9587272012099641,22.255698849829677,3.0000698725151755,24
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.4,0.1,5.0,0.7983257456028464,0.3997448206674462,0.09996208410774199,0.0016742543971536294,0.0002551793325538121,3.791589225801695e-05,0.002092817996442037,0.0006379483313845302,0.0003791589225801695,997522,0.3272008035912992,1.0,100,20,5,0.6867046541329415,2.547293793835633,2.2458060224175447,23.469936939744347,3.0031764676932635,15
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.4,0.15,5.0,0.7988556360535405,0.3981407776125919,0.1497050079540057,0.001144363946459559,0.0018592223874080993,0.00029499204599428563,0.0014304549330744487,0.004648055968520248,0.0019666136399619045,1506342,0.2166825329174915,1.0,100,20,5,0.6816380343905966,2.6782311828425525,2.256314490289091,24.461587486975482,2.878543468835128,19
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.6,0.05,5.0,0.8030261110038419,0.5932816871667944,0.04994085687442146,0.0030261110038418693,0.006718312833205564,5.9143125578545175e-05,0.0037826387548023366,0.011197188055342608,0.0011828625115709035,707259,0.4614999597035881,1.0,100,20,5,0.702107714429933,2.5229618754133947,2.002546086276756,22.094699483461966,3.0621978854674476,22
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.6,0.1,5.0,0.8014572780630578,0.5993050824557624,0.09993187105111437,0.001457278063057732,0.000694917544237561,6.812894888563736e-05,0.001821597578822165,0.0011581959070626018,0.0006812894888563736,959136,0.3403041904380609,1.0,100,20,5,0.695482183965569,2.387006184685236,1.9491907057248377,23.307696987181394,2.980196955836824,20
youtube,ok,,3269,14510,2,3269,14510,False,none,0.8,0.6,0.15,5.0,0.7981371085302109,0.5994864175834633,0.14961400090516314,0.0018628914697891297,0.0005135824165366509,0.00038599909483685857,0.002328614337236412,0.0008559706942277516,0.0025733272989123908,1413293,0.23094927944877672,1.0,100,20,5,0.6947511945505992,2.563964126651803,2.0098547216660054,24.16958244630396,2.8913986626056243,20
youtube,ok,,3269,14510,2,3269,14510,False,none,1.0,0.2,0.05,5.0,0.9973025009106214,0.20162568756313992,0.04969344732592802,0.002697499089378552,0.0016256875631399104,0.0003065526740719804,0.002697499089378552,0.008128437815699552,0.006131053481439608,719472,0.45364100340249514,1.0,100,20,5,0.6945259857228634,2.4726989521489777,2.033370327103481,22.173224366370082,2.9315347724368097,24
